,,PERMIT STATUS,CD,COFO ISSUE DATE,DWELLING UNIT CHANGED,ISSUE DATE,JOB ADDRESS,PERMIT SUB-TYPE,PERMIT GROUP,PERMIT NUMBER,PERMIT TYPE,PLAN CHECK SUBMITTAL DATE,SQUARE FOOTAGE,WORK DESCRIPTION,ZIP CODE,ADDRESS COUNT
Applications Submitted,560,Reviewed by Supervisor,12.0,,1.0,,10000 N VALLEY CIRCLE BLVD,1 or 2 Family Dwelling,Building,16010-20000-04492,Bldg-New,2016-09-30 00:00:00,1232.0,(N) 1-Story 2nd Dwelling Unit Per Ordinance 184510 (Nfpa-13d Fire Sprinklers Throughout) **** Comply With Department Order Effective Date 09/19/2016. Permit Will Expire 30 Days From Issuance Date ****,91311.0,1.0
Permits with CofO,1114,Permit Finaled,6.0,,1.0,2016-09-26 15:59:00,10011 N BARTEE AVE,1 or 2 Family Dwelling,Building,15010-20001-03416,Bldg-Alter/Repair,,841.0,Supplement To 15010-20000-03416 To Convert Recreation Room/Storage To A 2nd Dwelling - Per Ordinance No. 184510,91331.0,1.0
Permits with CofO,738,CofO Issued,6.0,2016-03-02 10:22:00,1.0,2015-03-13 15:43:00,10015 N LEV AVE,1 or 2 Family Dwelling,Building,14016-20000-25023,Bldg-Alter/Repair,,750.0,"Convert Existing 35'-0""X 30'-0"" Rec. Room Into  25'-0"" X 30'-0' 2nd Dwelling Per Za 120. Remove 10'-0"" X 30'-0"" Portion Of Recreation Room.",91331.0,1.0
Permits with CofO,793,CofO Issued,15.0,2016-08-16 15:47:00,,2015-07-21 15:27:00,1002 S WEYMOUTH AVE,1 or 2 Family Dwelling,Building,15016-20000-14724,Bldg-Alter/Repair,,603.0,Convert (E) Rear Sfd Into Second Dwelling Unit Per Za Memo 120. See Comments.,90732.0,1.0
Applications Submitted,317,Verifications in Progress,7.0,,1.0,,10025 N LEONA AVE,1 or 2 Family Dwelling,Building,13010-20000-02915,Bldg-New,2013-09-20 00:00:00,998.0,22.2' X 21' 2-Story Second Dwelling Unit (1110.8 Sf) Per Za Memo 120.,91042.0,1.0
Permits without CofO ,326,Issued,12.0,,1.0,2016-11-03 09:43:00,10028 N LOUISE AVE,1 or 2 Family Dwelling,Building,16014-20000-01097,Bldg-Addition,,2353.0,"Convert (E) Attached Garage Into Second Dwelling Unit Per Ordinance #184510. Add (N) 18'-0"" X 18'-0"" Attached Carport And (N) 12'-0"" X 27'-0"" Attached Patio Cover. All Work To Be Completed Per Wfpp And City Standard Details. Irreg Shaped One Story Duplex 52'-7"" X 68'-2""

",91325.0,1.0
Permits with CofO,1089,Permit Finaled,7.0,,1.0,2015-03-04 15:14:00,10028-10030 N WILLIS AVE,1 or 2 Family Dwelling,Building,14014-20001-05278,Bldg-Alter/Repair,,1283.0,"Supplemental Permit To Change Scope Of Work To State: ""Remodel & Addition To Convert Ex Att 2-Car Garage To 2nd Dwelling Unit Per Zoning Memorandum #120 & Add 2-Car Carport Per City Std Detail. All Work Per 2011 Wfpp. This Permit To Include One 'Open' Standard Parking Stall Req'D For 2nd Dwelling."" No Other Changes.",91345.0,1.0
Permits with CofO,54,CofO Issued,6.0,2006-06-01 07:50:00,1.0,2005-07-06 00:00:00,10034 N LEV AVE,1 or 2 Family Dwelling,Building,05010-20000-02950,Bldg-New,,554.0,"(N) Sfd Per Ab 1866.  Sfd Consists Of 2 Bedrooms, Bathroom, Living/Dining Room, And Kitchen.  All Work To Be Per Type V Sheet.",91331.0,1.0
Applications Submitted,240,Verifications in Progress,5.0,,,,10040 W REEVESBURY DR,1 or 2 Family Dwelling,Building,13016-20000-01710,Bldg-Alter/Repair,2012-04-10 00:00:00,,"To Convert The Existing Main Dwelling  Into The 2nd  Unit, Per Za 120. Rfa  Area Is, 1188sf",90210.0,1.0
Permits without CofO ,487,Issued,2.0,,1.0,2017-07-24 07:59:00,10043 W KESWICK ST,1 or 2 Family Dwelling,Building,17016-20000-14334,Bldg-Alter/Repair,,0.0,"Supplemental To Permit # 17014-20000-00019 : To Revise Work Description From ""Convert (E) Attached Garage To Living Area"" To "" Convert (E) Attached Garage To Adu Per Ab 2299 And Sb 1069"" And Replace Fire Damaged Roof Framing At Garage",91352.0,1.0
Permits with CofO,507,CofO Issued,5.0,2013-11-01 11:48:00,1.0,2013-06-13 15:49:00,10052 W CIELO DR,1 or 2 Family Dwelling,Building,13016-20000-04288,Bldg-Alter/Repair,,972.0,Convert Garage/ Storage To Second Dwelling Unit Per Ab 1866.,90210.0,1.0
Permits with CofO,14,CofO Issued,9.0,2005-10-18 14:46:00,0.0,2005-03-30 00:00:00,1007 E 34TH ST,1 or 2 Family Dwelling,Building,05014-10000-01648,Bldg-Addition,,1120.0,"To Add 1,152 Sq.Ft. To Existing Second Unit.  4 Bedrooms, 2 Baths.  (Cofo To Be Provided @ Appt. Date.).",90011.0,1.0
Permits with CofO,547,CofO Issued,6.0,2014-03-19 09:49:00,1.0,2013-05-24 15:16:00,10082 N VENA AVE,1 or 2 Family Dwelling,Building,13010-20000-00902,Bldg-New,,696.0,"Second Dwelling Unit Per Za 120. One Story  [24'X29'] Sfd, 2 Bedrooms And One Bathroom.  One Open Parking Space Provided.",91331.0,1.0
Permits with CofO,899,CofO Issued,11.0,2017-07-12 13:50:00,1.0,2015-10-08 10:44:00,1011 E PALMS BLVD,1 or 2 Family Dwelling,Building,15010-70000-02886,Bldg-New,,1073.0,New 1-Story Single Family Dwelling At Front Of Lot Per Ab 1866.,90291.0,1.0
Permits without CofO ,158,Permit Expired,7.0,,,2014-09-04 10:46:00,10115 N KEWEN ST,1 or 2 Family Dwelling,Building,14016-20002-11534,Bldg-Alter/Repair,,,Supplement To Permit #14016-20000-11534 To Correct Address For Second Dwelling Unit From 13133 Goleta St To 10115 Kewen St. No Fee Department Error.,91331.0,1.0
Applications Submitted,74,Corrections Issued,7.0,,1.0,,10121 N LAUREL CANYON BLVD,1 or 2 Family Dwelling,Building,06010-20000-02622,Bldg-New,2006-06-14 00:00:00,640.0,"New Detached 2nd Dwelling Unit  640 S.F. With Req'D Attache  18'X18' 2-Car Carport And One Open Pkg. Space On The Lot.   Per Type V.
",91331.0,1.0
Permits with CofO,40,CofO Issued,11.0,2006-04-04 15:24:00,1.0,2005-12-08 00:00:00,1014-1016 S OAKWOOD AVE,1 or 2 Family Dwelling,Building,05014-10000-06098,Bldg-Addition,,320.0,Add Second Unit To Existing House Connected With Breezeway Creating A Duplex.  (Refer To 05010-70000-03220 For New 1-Car Garage Permit.)  See Comments.,90291.0,1.0
Permits without CofO ,425,Issued,7.0,,1.0,2017-05-15 08:23:00,10146-10148 N MOUNTAIR AVE,1 or 2 Family Dwelling,Building,17014-10000-00237,Bldg-Addition,,980.0,"New 38'6""X23'6"" Addition To Create 2nd Dwelling Unit To Make It A Duplex. 50% Of Required Front Has To Be Landscaping.
",91042.0,1.0
Permits without CofO ,335,Issued,11.0,,1.0,2016-11-16 16:08:00,1015 N RIVAS CANYON ROAD,1 or 2 Family Dwelling,Building,15010-20000-01881,Bldg-New,,1000.0,"New 34'-1"" X 27' (2)-Story 2nd Dwelling With Attached Garage Per Ordinance# 184510. <Fully Sprinklered Through Out>",90272.0,1.0
