,Overall Status,CD,COFO ISSUE DATE,DWELLING UNIT CHANGED,ISSUE DATE,JOB ADDRESS,PC SUBMT DATE,PERMIT GROUP,PERMIT NUMBER,PERMIT SUB-TYPE,PERMIT TYPE,SQUARE FOOTAGE,STATUS DESCRIPTION,USE DESCRIPTION,WORK DESCRIPTION,ZIP CODE,ADDRESS COUNT,ISSUE YEAR,PC YEAR
0,Applications Submitted,12.0,,1.0,,10000 N VALLEY CIRCLE BLVD,2016-09-30 00:00:00,Building,16010-20000-04492,1 or 2 Family Dwelling,Bldg-New,1232.0,Reviewed by Supervisor,Dwelling - Single Family,(N) 1-Story 2nd Dwelling Unit Per Ordinance 184510 (Nfpa-13d Fire Sprinklers Throughout) **** Comply With Department Order Effective Date 09/19/2016. Permit Will Expire 30 Days From Issuance Date ****,91311.0,1.0,,2016.0
1,Permits without CofO,7.0,,1.0,2017-04-05 10:48:00,10009 N EL DORADO AVE,,Building,16014-20001-04193,1 or 2 Family Dwelling,Bldg-Alter/Repair,0.0,Issued,Accessory Dwelling Unit,Supplemental Permit To 16014-20000-04193 To Convert (E) 18' X 25' Recreation Room To An Accessory Dwelling Unit Per Ab 2299 And Sb 1069,91331.0,1.0,2017.0,
2,Permits without CofO,6.0,,1.0,2016-09-26 15:59:00,10011 N BARTEE AVE,,Building,15010-20001-03416,1 or 2 Family Dwelling,Bldg-Alter/Repair,841.0,Permit Finaled,Dwelling - Single Family,Supplement To 15010-20000-03416 To Convert Recreation Room/Storage To A 2nd Dwelling - Per Ordinance No. 184510,91331.0,1.0,2016.0,
3,Permits with CofO,6.0,2016-03-02 10:22:00,1.0,2015-03-13 15:43:00,10015 N LEV AVE,,Building,14016-20000-25023,1 or 2 Family Dwelling,Bldg-Alter/Repair,750.0,CofO Issued,Dwelling - Single Family,"Convert Existing 35'-0""X 30'-0"" Rec. Room Into  25'-0"" X 30'-0' 2nd Dwelling Per Za 120. Remove 10'-0"" X 30'-0"" Portion Of Recreation Room.",91331.0,1.0,2015.0,
4,Applications Submitted,8.0,,1.0,,10015 S BARING CROSS ST,2017-06-02 00:00:00,Building,17010-10000-02137,1 or 2 Family Dwelling,Bldg-New,974.0,PC Info Complete,Accessory Dwelling Unit,(N) Accessory Dwelling Unit Per Ab2299 And Sb1069.,90044.0,1.0,,2017.0
5,Permits without CofO,12.0,,0.0,2017-05-02 13:25:00,10019-10021 N MASON AVE,,Building,17014-20000-01685,1 or 2 Family Dwelling,Bldg-Addition,2910.0,Issued,Dwelling - Single Family,"Convert (E) 16'-1"" X 20'-6"" Attached Garage To A (N) Accessory Dwelling Unit Per Ab 2299 And Sb 1069, Add 19'-11"" X 20'-6"" For New Family Room And Kitchen. All Work Per Design.",91311.0,1.0,2017.0,
6,Permits with CofO,15.0,2016-08-16 15:47:00,,2015-07-21 15:27:00,1002 S WEYMOUTH AVE,,Building,15016-20000-14724,1 or 2 Family Dwelling,Bldg-Alter/Repair,603.0,CofO Issued,Dwelling - Single Family,Convert (E) Rear Sfd Into Second Dwelling Unit Per Za Memo 120. See Comments.,90732.0,1.0,2015.0,
7,Applications Submitted,7.0,,1.0,,10025 N LEONA AVE,2013-09-20 00:00:00,Building,13010-20000-02915,1 or 2 Family Dwelling,Bldg-New,998.0,Verifications in Progress,Dwelling - Single Family,22.2' X 21' 2-Story Second Dwelling Unit (1110.8 Sf) Per Za Memo 120.,91042.0,1.0,,2013.0
8,Permits without CofO,12.0,,1.0,2016-11-03 09:43:00,10028 N LOUISE AVE,,Building,16014-20000-01097,1 or 2 Family Dwelling,Bldg-Addition,2353.0,Issued,Duplex,"Convert (E) Attached Garage Into Second Dwelling Unit Per Ordinance #184510. Add (N) 18'-0"" X 18'-0"" Attached Carport And (N) 12'-0"" X 27'-0"" Attached Patio Cover. All Work To Be Completed Per Wfpp And City Standard Details. Irreg Shaped One Story Duplex 52'-7"" X 68'-2""

",91325.0,1.0,2016.0,
9,Permits without CofO,7.0,,1.0,2015-03-04 15:14:00,10028-10030 N WILLIS AVE,,Building,14014-20001-05278,1 or 2 Family Dwelling,Bldg-Alter/Repair,1283.0,Permit Finaled,Duplex,"Supplemental Permit To Change Scope Of Work To State: ""Remodel & Addition To Convert Ex Att 2-Car Garage To 2nd Dwelling Unit Per Zoning Memorandum #120 & Add 2-Car Carport Per City Std Detail. All Work Per 2011 Wfpp. This Permit To Include One 'Open' Standard Parking Stall Req'D For 2nd Dwelling."" No Other Changes.",91345.0,1.0,2015.0,
10,Permits with CofO,6.0,2006-06-01 07:50:00,1.0,2005-07-06 00:00:00,10034 N LEV AVE,,Building,05010-20000-02950,1 or 2 Family Dwelling,Bldg-New,554.0,CofO Issued,Dwelling - Single Family,"(N) Sfd Per Ab 1866.  Sfd Consists Of 2 Bedrooms, Bathroom, Living/Dining Room, And Kitchen.  All Work To Be Per Type V Sheet.",91331.0,1.0,2005.0,
11,Permits without CofO,12.0,,1.0,2017-04-25 15:25:00,10038 N GOTHIC AVE,,Building,17016-30000-10342,1 or 2 Family Dwelling,Bldg-Alter/Repair,739.0,Issued,Accessory Dwelling Unit,Convert Detached Garage To Accessory Dwelling Unit Per Ab 2299  & S.B. 1069.,91343.0,1.0,2017.0,
12,Applications Submitted,5.0,,,,10040 W REEVESBURY DR,2012-04-10 00:00:00,Building,13016-20000-01710,1 or 2 Family Dwelling,Bldg-Alter/Repair,,Verifications in Progress,,"To Convert The Existing Main Dwelling  Into The 2nd  Unit, Per Za 120. Rfa  Area Is, 1188sf",90210.0,1.0,,2012.0
13,Permits without CofO,12.0,,1.0,2017-04-28 10:02:00,10042 N BALBOA BLVD,,Building,17014-20000-00503,1 or 2 Family Dwelling,Bldg-Addition,1193.0,Issued,Accessory Dwelling Unit,"Addition Of 23'-0"" X 23'-0"" One Story Two Car Garage To (E) Two Car Garage And (N) 26'-6"" X 45'-1"" Second Story Accessory Dwelling Unit On Top Per Ab 2299 And Sb 1069 And Cover Patio. All Work Per Engineering. See Comments.",91325.0,1.0,2017.0,
14,Permits without CofO,2.0,,1.0,2017-07-24 07:59:00,10043 W KESWICK ST,,Building,17016-20000-14334,1 or 2 Family Dwelling,Bldg-Alter/Repair,0.0,Issued,Dwelling - Single Family,"Supplemental To Permit # 17014-20000-00019 : To Revise Work Description From ""Convert (E) Attached Garage To Living Area"" To "" Convert (E) Attached Garage To Adu Per Ab 2299 And Sb 1069"" And Replace Fire Damaged Roof Framing At Garage",91352.0,1.0,2017.0,
15,Permits with CofO,5.0,2013-11-01 11:48:00,1.0,2013-06-13 15:49:00,10052 W CIELO DR,,Building,13016-20000-04288,1 or 2 Family Dwelling,Bldg-Alter/Repair,972.0,CofO Issued,Dwelling - Single Family,Convert Garage/ Storage To Second Dwelling Unit Per Ab 1866.,90210.0,1.0,2013.0,
16,Permits with CofO,12.0,2017-07-03 09:47:00,1.0,2017-04-05 14:06:00,10056-10058 N KEOKUK AVE,,Building,17016-20000-05392,1 or 2 Family Dwelling,Bldg-Alter/Repair,0.0,CofO Issued,Dwelling - Single Family,"Convert (E) 20'-0"" X 23'-6"" Portion Of (E) Sfd To (N) Accessory Dwelling Unit Per Ab 2299 And Sb 1069 Per Wfpp",91311.0,1.0,2017.0,
17,Permits without CofO,11.0,,1.0,2017-07-26 13:29:00,1006 E INDIANA CT,,Building,17010-10000-02560,1 or 2 Family Dwelling,Bldg-New,230.0,Issued,Accessory Dwelling Unit,New Accessory Dwelling Unit.,90291.0,1.0,2017.0,
18,Permits without CofO,2.0,,1.0,2017-03-09 15:16:00,10067-10069 W ROSCOE BLVD,,Building,17016-20000-05514,1 or 2 Family Dwelling,Bldg-Alter/Repair,0.0,Issued,Dwelling - Single Family,"Convert (E) 19'10"" X 25'2"" Attached Recreation Room To Accessory Dwelling Unit Per Ab 2299 And Sb 1069",91352.0,1.0,2017.0,
19,Permits with CofO,9.0,2005-10-18 14:46:00,0.0,2005-03-30 00:00:00,1007 E 34TH ST,,Building,05014-10000-01648,1 or 2 Family Dwelling,Bldg-Addition,1120.0,CofO Issued,Duplex,"To Add 1,152 Sq.Ft. To Existing Second Unit.  4 Bedrooms, 2 Baths.  (Cofo To Be Provided @ Appt. Date.).",90011.0,1.0,2005.0,
20,Applications Submitted,5.0,,1.0,,10071 W WESTWANDA DR,2017-01-25 00:00:00,Building,17014-30000-00279,1 or 2 Family Dwelling,Bldg-Addition,0.0,PC Info Complete,Dwelling - Single Family,"Convert 1st Floor 1,066 Sq Ft Storage Room Of (E) Detached Two Story Rec.Room/Storage Room To Accessory Dwelling Unit Per A.B 2299 & S.B. 1069.
(2nd Floor To Remain Rec. Room).",90210.0,1.0,,2017.0
21,Permits with CofO,6.0,2014-03-19 09:49:00,1.0,2013-05-24 15:16:00,10082 N VENA AVE,,Building,13010-20000-00902,1 or 2 Family Dwelling,Bldg-New,696.0,CofO Issued,Dwelling - Single Family,"Second Dwelling Unit Per Za 120. One Story  [24'X29'] Sfd, 2 Bedrooms And One Bathroom.  One Open Parking Space Provided.",91331.0,1.0,2013.0,
22,Permits with CofO,11.0,2017-07-12 13:50:00,1.0,2015-10-08 10:44:00,1011 E PALMS BLVD,,Building,15010-70000-02886,1 or 2 Family Dwelling,Bldg-New,1073.0,CofO Issued,Dwelling - Single Family,New 1-Story Single Family Dwelling At Front Of Lot Per Ab 1866.,90291.0,1.0,2015.0,
23,Permits without CofO,12.0,,1.0,2017-07-27 08:48:00,10113 N JORDAN AVE,,Building,17010-20000-01544,1 or 2 Family Dwelling,Bldg-New,912.0,Issued,Accessory Dwelling Unit,(N) 40' X 30' Irregular Shape Accessory Dwelling Unit Per Ab 2299 And Sb 1069. ,91311.0,1.0,2017.0,
24,Permits without CofO,12.0,,1.0,2017-06-28 15:32:00,10114 N AQUEDUCT AVE,,Building,17016-20000-13544,1 or 2 Family Dwelling,Bldg-Alter/Repair,441.0,Issued,Accessory Dwelling Unit,"Convert (E) 2-Car Garage To Accessory Dwelling Unit Per Ab 2299 And Sb 1069. ""Comply With Department Order Effective Date
05/11/2017. Permit Will Expire 30 Days From Issuance Date""",91343.0,1.0,2017.0,
25,Applications Submitted,7.0,,1.0,,10121 N LAUREL CANYON BLVD,2006-06-14 00:00:00,Building,06010-20000-02622,1 or 2 Family Dwelling,Bldg-New,640.0,Corrections Issued,Dwelling - Single Family,"New Detached 2nd Dwelling Unit  640 S.F. With Req'D Attache  18'X18' 2-Car Carport And One Open Pkg. Space On The Lot.   Per Type V.
",91331.0,1.0,,2006.0
26,Permits without CofO,8.0,,1.0,2017-05-18 15:34:00,10123 S PALOMA AVE,,Building,17014-10000-02256,1 or 2 Family Dwelling,Bldg-Addition,380.0,Issued,Accessory Dwelling Unit,Convert (E) 1 Car Garage (10 X 20) To Accessory Dwelling Unit Per Ab 2299 And Sb 1069  And Add 220 Sf To Rear Of Accessory Dwelling Unit; All Work To Be Per Wfpp,90002.0,1.0,2017.0,
27,Permits without CofO,12.0,,1.0,2017-07-03 11:49:00,10132-10134 N LURLINE AVE,,Building,17016-20000-16786,1 or 2 Family Dwelling,Bldg-Alter/Repair,484.0,Issued,Dwelling - Single Family,Convert (E) Attached Garage Into (N) Accessory Dwelling Unit (Adu) Per Ab 2299 And Sb 1069. All Work Is Per Wfpp/City Details. ,91311.0,1.0,2017.0,
28,Applications Submitted,11.0,,1.0,,1014 N MARONEY LANE,2017-02-24 00:00:00,Building,17016-30000-04220,1 or 2 Family Dwelling,Bldg-Alter/Repair,1050.0,Corrections Issued,Accessory Dwelling Unit,"Change Of Use And Alteration Of (E) 1,050 Sf Recreation Room To Accessory Dwelling Unit Per Ab 2299 And Sb 1069.  Interior Addition Of Shower , Kitchen, And Laundry Facilities To Floor Plan. Non-Structural Partition Wall Construction Per Wood Frame Prescriptive Provisions.",90272.0,1.0,,2017.0
29,Permits with CofO,11.0,2006-04-04 15:24:00,1.0,2005-12-08 00:00:00,1014-1016 S OAKWOOD AVE,,Building,05014-10000-06098,1 or 2 Family Dwelling,Bldg-Addition,320.0,CofO Issued,Duplex,Add Second Unit To Existing House Connected With Breezeway Creating A Duplex.  (Refer To 05010-70000-03220 For New 1-Car Garage Permit.)  See Comments.,90291.0,1.0,2005.0,
30,Permits without CofO,2.0,,1.0,2017-04-07 15:30:00,10143 W ELKWOOD ST,,Building,17016-20000-05250,1 or 2 Family Dwelling,Bldg-Alter/Repair,0.0,Issued,Accessory Dwelling Unit,"Convert (E) 37'0"" X 13'10"" (Irr. Shape) Recreation Room To Accessory Dwelling Unit Per Ab 2299 And Sb 1069",91352.0,1.0,2017.0,
31,Permits without CofO,7.0,,1.0,2017-05-15 08:23:00,10146-10148 N MOUNTAIR AVE,,Building,17014-10000-00237,1 or 2 Family Dwelling,Bldg-Addition,980.0,Issued,Duplex,"New 38'6""X23'6"" Addition To Create 2nd Dwelling Unit To Make It A Duplex. 50% Of Required Front Has To Be Landscaping.
",91042.0,1.0,2017.0,
32,Permits without CofO,11.0,,1.0,2016-11-16 16:08:00,1015 N RIVAS CANYON ROAD,,Building,15010-20000-01881,1 or 2 Family Dwelling,Bldg-New,1000.0,Issued,Dwelling - Single Family,"New 34'-1"" X 27' (2)-Story 2nd Dwelling With Attached Garage Per Ordinance# 184510. <Fully Sprinklered Through Out>",90272.0,1.0,2016.0,
33,Permits without CofO,6.0,,1.0,2017-07-19 14:46:00,10157 N LEV AVE,,Building,17014-20000-02581,1 or 2 Family Dwelling,Bldg-Addition,480.0,Issued,Accessory Dwelling Unit,"Add 7.5' X 17' To (E) Det. Garage And Covert To Accessory Dwelling Unit  Per Ab 2299 And Sb 1069  -------- Comply With Department Order Effective Date 11/29/2016, Permit Will Expire 30 Days From Issuance Date.",91331.0,1.0,2017.0,
34,Applications Submitted,7.0,,0.0,,10168 N LEONA AVE,2012-05-10 00:00:00,Building,12010-20000-01071,1 or 2 Family Dwelling,Bldg-New,,Reviewed by Supervisor,Duplex,"""Comply With Department Order Effective Date
04/10/2012. Permit Will Expire 30 Days From Issuance Date"" - Construct Second Dwelling Unit Per Za-120.",91042.0,1.0,,2012.0
35,Permits without CofO,5.0,,1.0,2012-04-24 12:32:00,1020 N MORAGA DR,,Building,10010-20000-02605,1 or 2 Family Dwelling,Bldg-New,1200.0,CofO in Progress,Dwelling - Single Family,"New 1-Story, 54' X 24',  1,200 Sf Single Family Dwelling, Basement Garage And Storage, Roof Deck, And Attached Deck Per Za 120.

***Permit 2 Of 4***",90049.0,1.0,2012.0,
36,Permits with CofO,7.0,2017-04-13 14:44:00,1.0,2015-01-13 08:47:00,10205 N KEWEN AVE,,Building,14014-20000-03863,1 or 2 Family Dwelling,Bldg-Addition,499.0,CofO Issued,Duplex,Add 2nd Dwelling Unit (Irr 26' X 20') Per Za Memorandum 120 To (E) Sfd Creating A Duplex,91331.0,1.0,2015.0,
37,Permits without CofO,10.0,,1.0,2015-03-31 12:23:00,1021-1023 S VICTORIA AVE,,Building,15014-10000-00574,1 or 2 Family Dwelling,Bldg-Addition,3658.0,Issued,Duplex,"Add 423 Sf To (E) Sfd And Convert To Duplex Per ""Ab-1866"". Comply With Department Order Effective Date 02/09/2015. Permit Will Expire 30 Days From Issuance Date.",90019.0,1.0,2015.0,
38,Permits with CofO,6.0,2017-05-31 07:06:00,1.0,2013-08-22 15:04:00,10210 N LEV AVE,,Building,13010-20000-01150,1 or 2 Family Dwelling,Bldg-New,878.0,CofO Issued,Dwelling - Single Family,"(N)Fully Sprinklered 2nd Dwelling With Attached One Car Carport Per Ab 1866(Za Memo #120).  All Work Per Wfpp Sheet.  ""Comply With Dept. Order Dated 5/6/12.  This Permit Will Expire In 30 Days From Issuance Date.""",91331.0,1.0,2013.0,
39,Applications Submitted,7.0,,1.0,,10213 N MOREHART AVE,2017-06-05 00:00:00,Building,17010-20000-02157,1 or 2 Family Dwelling,Bldg-New,923.0,Reviewed by Supervisor,Accessory Dwelling Unit,"New 26'-0"" X 35'-5"" Accessory Dwelling Unit Per Ab 2299 And Sb 1069",91331.0,1.0,,2017.0
