,EMPLOYEE_ID,GENDER,ETHNICITY,JOB_STATUS,DEPARTMENT_TITLE,DEPARTMENT_NBR,JOB_CLASS_TITLE,EMPLOYMENT_DATE,ANNUAL_ADDITIONAL_PAY,ANNUAL_BASE_RATE,ANNUAL_RATE
7230,63868,Female,Unknown,Active,AFFORDABLE HOUSING COMMISSION,3909,MEM AFFORDBL HSG COMMSN,2001-07-01,0.0,104400.0,0.0
23772,106078,Female,Hispanic,Active,AFFORDABLE HOUSING COMMISSION,3909,MEM AFFORDBL HSG COMMSN,2006-01-11,0.0,104400.0,104400.0
29314,173092,Female,Hispanic,Active,AFFORDABLE HOUSING COMMISSION,3909,MEM AFFORDBL HSG COMMSN,2007-10-01,0.0,104400.0,104400.0
10995,40691,Female,Hispanic,Active,AGING,301,EXEC ADMIN ASST III,1977-10-11,0.0,92519.28,92519.28
4735,27358,Female,Black,Active,AGING,301,NUTRITIONIST,1987-05-11,0.0,88405.92,88405.92
372,10956,Female,Hispanic,Active,AGING,301,SR MGMT ANALYST I,1996-11-04,0.0,112209.12,112209.12
7053,11999,Female,Caucasian,Active,AGING,301,SR MGMT ANALYST I,1999-04-19,0.0,106279.2,106279.2
7052,11999,Female,Caucasian,Transferring Out,AGING,301,MANAGEMENT ANALYST,1999-04-19,0.0,100307.52,100307.52
8795,61935,Female,Black,Active,AGING,301,SR MGMT ANALYST I,2001-05-06,0.0,112209.12,112209.12
18197,71396,Female,Asian,Active,AGING,301,COMNTY PROGRM ASST III,2002-02-21,0.0,88948.8,88948.8
19974,74212,Female,Black,Active,AGING,301,SR ADMINISTRATIVE CLERK,2002-08-04,0.0,57628.8,57628.8
20515,77109,Female,Hispanic,Active,AGING,301,GEN MGR DEPT OF AGING,2002-12-23,0.0,199174.32,199174.32
14248,19287,Female,Hispanic,Active,AGING,301,MANAGEMENT ANALYST,2004-06-27,0.0,100307.52,100307.52
23131,94255,Female,Asian,Active,AGING,301,PR ACCOUNTANT II,2005-01-03,0.0,107678.16,107678.16
26515,281848,Female,Caucasian,Active,AGING,301,MANAGEMENT ASSISTANT,2006-06-09,0.0,48796.56,48796.56
30293,306677,Female,Asian,Active,AGING,301,SR ACCOUNTANT II,2007-12-17,0.0,96298.56,96298.56
30859,322704,Female,Caucasian,Active,AGING,301,SOCIAL WORKER III,2009-02-25,0.0,118473.12,118473.12
36941,367291,Female,Asian,Active,AGING,301,ACCOUNTANT,2014-08-25,0.0,59988.24,59988.24
40350,375634,Female,Black,Active,AGING,301,SOCIAL WORKER II,2015-12-28,0.0,70490.88,70490.88
40570,375751,Female,Filipino,Active,AGING,301,MANAGEMENT ASSISTANT,2016-01-11,0.0,50132.88,50132.88
41546,378280,Female,Filipino,Active,AGING,301,ACCOUNTANT,2016-05-31,0.0,55290.24,55290.24
45888,387401,Female,Caucasian,Active,AGING,301,ACCOUNTING CLERK,2017-05-30,0.0,47689.92,47689.92
35460,360713,Female,Black,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2013-11-04,0.0,25056.0,25056.0
35737,363260,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-03-10,0.0,25056.0,25056.0
35826,363114,Female,Caucasian,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-03-10,0.0,25056.0,25056.0
35827,363218,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-03-10,0.0,25056.0,25056.0
35828,363263,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-03-10,0.0,25056.0,25056.0
35847,363178,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-03-10,0.0,25056.0,25056.0
35970,363506,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-03-10,0.0,25056.0,25056.0
17591,37033,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-03-24,0.0,29232.0,29232.0
35969,363498,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-03-24,0.0,25056.0,25056.0
36065,364151,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-04-07,0.0,29232.0,29232.0
35987,363783,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-04-07,0.0,25056.0,25056.0
35988,363792,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-04-07,0.0,25056.0,25056.0
36048,363928,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-04-07,0.0,25056.0,25056.0
