,FullName,SegmentID,CD,CS_RoundSc_Q1_2016,CS_RoundSc_Q4_2016,CS_RoundSc_Q4_2017,Miles,SanDist,LAPD_Grid,Cat_Q1_2016,Cat_Q4_2016,Cat_Q4_2017
0,,1,1,0,1,1,0.001536432480444,NC,101,Not Evaluated,Clean,Clean
1,,2,1,1,1,1,0.021824525468355,NC,101,Clean,Clean,Clean
2,,3,14,1,1,1,0.001185360023783,NC,111,Clean,Clean,Clean
3,,5,14,1,1,1,0.043657679724812,NC,111,Clean,Clean,Clean
4,,7,1,1,1,1,0.009929734388737,NC,111,Clean,Clean,Clean
5,,9,14,0,1,1,0.019282468705593,0,119,Not Evaluated,Clean,Clean
6,,10,14,0,1,1,0.230154763127474,0,119,Not Evaluated,Clean,Clean
7,,13,14,0,1,1,0.044172712982971,0,141,Not Evaluated,Clean,Clean
8,,15,14,0,1,1,0.015476536056872,0,141,Not Evaluated,Clean,Clean
9,,16,14,0,1,1,0.016818898065395,0,141,Not Evaluated,Clean,Clean
10,,19,14,2,1,1,0.188654778793711,NC,159,Somewhat Clean,Clean,Clean
11,,20,14,0,1,1,0.126135650833243,0,159,Not Evaluated,Clean,Clean
12,,31,13,1,1,1,0.004731966426485,NC,204,Clean,Clean,Clean
13,,32,13,1,1,1,0.009925692708343,NC,204,Clean,Clean,Clean
14,,33,13,1,1,1,0.003791293994911,NC,204,Clean,Clean,Clean
15,,42,1,0,1,1,0.149131339380518,0,238,Not Evaluated,Clean,Clean
16,,43,1,0,1,1,0.148205846320584,0,238,Not Evaluated,Clean,Clean
17,,44,1,0,1,1,0.170664158225471,0,238,Not Evaluated,Clean,Clean
18,,45,1,0,1,1,0.068389430010116,0,238,Not Evaluated,Clean,Clean
19,,46,1,0,1,1,0.107964629494745,0,239,Not Evaluated,Clean,Clean
20,,47,1,0,1,1,0.10791548624507,0,239,Not Evaluated,Clean,Clean
21,,49,1,1,1,1,0.008912685212027,NC,241,Clean,Clean,Clean
22,,51,1,1,1,1,0.013164987617304,NC,241,Clean,Clean,Clean
23,,52,1,1,1,1,0.00590298880231,NC,249,Clean,Clean,Clean
24,,53,1,0,1,1,0.100770383662427,0,249,Not Evaluated,Clean,Clean
25,,54,1,0,1,1,0.126339051446173,0,249,Not Evaluated,Clean,Clean
26,,55,1,1,1,1,0.01061491734232,NC,251,Clean,Clean,Clean
27,,56,1,0,1,1,0.008355886958369,0,261,Not Evaluated,Clean,Clean
28,,57,1,1,1,1,0.005852773697526,NC,261,Clean,Clean,Clean
29,,59,1,0,1,1,0.11607990067318,0,269,Not Evaluated,Clean,Clean
30,,62,1,0,1,1,0.009431283357923,0,271,Not Evaluated,Clean,Clean
31,,68,1,1,1,1,0.003312331566082,NC,279,Clean,Clean,Clean
32,,69,1,0,1,1,0.004938531288021,0,279,Not Evaluated,Clean,Clean
33,,70,1,1,1,1,0.004498627006936,NC,279,Clean,Clean,Clean
34,,72,1,0,1,1,0.012943014851917,0,281,Not Evaluated,Clean,Clean
35,,73,1,1,1,1,0.007324800053372,SC,295,Clean,Clean,Clean
