,EMPLOYEE_ID,GENDER,ETHNICITY,JOB_STATUS,DEPARTMENT_TITLE,DEPARTMENT_NBR,JOB_CLASS_TITLE,EMPLOYMENT_DATE,ANNUAL_ADDITIONAL_PAY,ANNUAL_BASE_RATE,ANNUAL_RATE
23750,101385,Female,Caucasian,Active,ZOO AS NEEDED,8702,ZOO VETERINARIAN II,2005-08-08,0.0,108617.76,108617.76
32462,334722,Female,Hispanic,Active,TRANSPORTATION AS NEEDED,8502,ADMIN HEARING OFCR,2014-07-28,0.0,63015.84,63015.84
36679,367021,Female,Caucasian,Active,TRANSPORTATION,8501,GEN MGR TRANSPORTATION,2014-08-10,0.0,243231.12,243231.12
43363,379454,Female,Caucasian,Active,TITLE V EMPLOY STIMULUS,1983,COMNTY/ADMN SUP WKR I,2016-07-05,0.0,29232.0,29232.0
6435,43578,Female,Hispanic,Active,RETIREMENT SYSTEM,1801,ASST GM-LACERS,2010-01-31,0.0,200531.52,200531.52
4478,18013,Female,Caucasian,Active,RETIREMENT OVER THE LIMIT AMT,1808,RETIREE OVER THE LIMIT,1990-07-16,0.0,0.0,0.0
38524,372000,Female,Hispanic,Active,REC PARKS SUMMER NIGHT PART TIME,7908,GRYD WORKER VI,2015-05-27,0.0,45936.0,45936.0
103,13834,Female,Caucasian,Active,REC PARKS REG FULL TIME,7901,ASST GM REC & PARKS,1975-02-24,0.0,200531.52,200531.52
7019,12321,Female,Caucasian,Active,REC & PARKS PART TIME,7903,OBSERVATORY LECTURER,1992-03-24,0.0,67860.0,67860.0
991,26938,Female,Caucasian,Active,R&P FULL-TIME SPECIAL FUNDED,7904,GOLF MANAGER,1990-09-23,0.0,129936.24,129936.24
23364,100727,Female,Black,Active,PW WATERSHED PROTECTION DIV-AS NEEDED,7052,PROJECT ASSISTANT,2015-03-02,0.0,48796.56,48796.56
38565,372308,Female,Other,Active,PW WASTEWATER ENGRG SERVS DIV,7070,PROJECT ASSISTANT,2015-06-15,0.0,48796.56,48796.56
27652,291870,Female,Hispanic,Active,PW WASTEWATER ENGINEERG SVCS,7016,SR CIVIL ENGINEER,2007-01-09,0.0,130980.24,130980.24
35347,358167,Female,Hispanic,Active,PW WASTEWATER COLL-AS NEEDED,7086,PROJECT ASSISTANT,2013-07-01,0.0,55895.76,55895.76
24799,102550,Female,Asian,Active,PW WASTEWATER COLL SYSTEM,7004,ENVRMNTL ENGRG ASSC II,2005-09-21,0.0,105444.0,105444.0
8217,22000,Female,Filipino,Active,PW URBAN FORESTRY,7404,MANAGEMENT ANALYST,1999-03-22,0.0,100307.52,100307.52
18270,71422,Female,Hispanic,Active,PW TERMINAL IS TREAT PLAN,7005,ACCOUNTING CLERK,2002-02-25,0.0,66022.56,66022.56
69,13669,Female,Black,Active,PW STREET MAINTENANCE,7401,MANAGEMENT ANALYST,1993-03-08,0.0,100307.52,100307.52
3222,51509,Female,Hispanic,Active,PW STREET LIGHTING,7301,ASST DIR BUR OF ST LTG,1988-06-06,10613.57,192972.96,203586.53
23404,101517,Female,Asian,Active,PW STREET IMPROVEMENT,7490,LANDSCAPE ARCH II,2005-08-08,0.0,134926.56,134926.56
12617,50329,Female,Filipino,Active,PW STORMWATER MANAGEMENT DIV,7025,ENVIRN AFFRS OFC,1989-09-11,0.0,144677.52,144677.52
8349,18638,Female,Asian,Active,PW SPECIAL PROJECTS,7412,MANAGEMENT ANALYST,2000-10-23,0.0,92477.52,92477.52
43222,379517,Female,Asian,Active,PW SOLID RSRC VLLY COLL AS NEEDED,7088,PROJECT ASSISTANT,2016-06-27,0.0,48796.56,48796.56
39488,374245,Female,Hispanic,Active,PW SOLID RSRC SPPRT SVC AS NEEDED,7090,ADMINISTRATIVE CLERK,2015-09-08,0.0,39692.88,39692.88
39851,374937,Female,Hispanic,Active,PW SOLID RSRC CW RCYCLG AS NEEDED,7087,ADMINISTRATIVE CLERK,2015-11-02,0.0,39692.88,39692.88
7380,69164,Female,Filipino,Active,PW SOLID RESOURCES VALLEY COLL,7028,MANAGEMENT ANALYST,2015-03-03,0.0,100307.52,100307.52
30231,310543,Female,Black,Active,PW SOLID RESOURCES SUPPORT SERV,7030,COMNTY AFFRS ADVOCATE,2008-03-17,0.0,145679.76,145679.76
40722,376213,Female,Hispanic,Active,PW SOLID RESOURCES SOUTH AS NEEDED,7032,PROJECT ASSISTANT,2016-02-08,0.0,48796.56,48796.56
9924,40762,Female,Black,Active,PW SOLID RESOURCES NORTH COLL DIV,7031,REF COLL SUPERVISOR,1977-07-25,0.0,104629.68,104629.68
17468,28262,Female,Hispanic,Active,PW SOLID RESOURCES DISP & ENGRG,7011,ENVRMNTL ENGINEER,1986-01-06,0.0,127555.92,127555.92
11671,47880,Female,Asian,Active,PW SOLID RESOURCES COMMERCIAL FRANCHISE,7034,SOLID RESOURCES MGR I,1990-07-01,0.0,157602.24,157602.24
26678,281800,Female,Hispanic,Active,PW SOLID RESOURCES AS NEEDED,7055,PROJECT ASSISTANT,2010-03-15,0.0,48796.56,48796.56
3146,44219,Female,Black,Leave,PW SOLID RESOURC RCYCLG/COLLCTN,7002,MAINTENANCE LABORER,1981-12-13,0.0,0.0,0.0
46887,32376,Female,Caucasian,Active,PW RESURFACING & RECONSTRUCTION,7411,SR MGMT ANALYST II,1995-03-20,0.0,131648.4,131648.4
18288,69864,Female,Caucasian,Active,PW REGULATORY AFFAIRS DIV AS NEEDED,7077,PROJECT COORDINATOR,2008-02-28,0.0,81995.76,81995.76
17411,26432,Female,Caucasian,Active,PW REGULATORY AFFAIRS DIV,7023,ENVIRN AFFRS OFC,1985-11-24,0.0,144677.52,144677.52
5533,41413,Female,Asian,Active,PW METHODS AND STANDARDS,7413,ST SVCS GEN SUPT I,1987-02-17,0.0,138371.76,138371.76
44961,382849,Female,Caucasian,Active,PW LA-GLENDALE WATER RECLM,7010,ENVRMNTL ENGRG ASSC I,2016-11-28,0.0,68047.92,68047.92
2202,30387,Female,Caucasian,Active,PW INTEGRATED SOLID WSTE MGMT DIV,7026,SOLID RESOURCES MGR II,1993-06-28,0.0,175120.56,175120.56
2095,41131,Female,Caucasian,Active,PW INFORMATION & CONTROL SYSTEMS,7008,DIR OF SYSTEMS,1985-05-13,0.0,144844.56,144844.56
44286,384506,Female,Hispanic,Active,PW INDUSTRIAL WASTE MANAGEMENT DIV-AS NEEDED,7075,STUDENT ENGINEER,2017-02-21,0.0,60343.2,60343.2
7824,21359,Female,Black,Active,PW INDUSTRIAL WASTE MANAGEMENT,7013,CH ENV COMP INSPECT II,1984-04-02,0.0,139499.28,139499.28
2507,52613,Female,Black,Active,PW INDUSTRIAL SAFETY & COMPLIANCE,7020,SR PERSONNEL ANALYST I,1987-10-25,0.0,123400.8,123400.8
11656,47607,Female,Caucasian,Active,PW HYPERION TREAT PLANT,7007,SR ENVRMNTL ENGINEER,1989-01-30,0.0,149981.04,149981.04
39817,374868,Female,Hispanic,Active,PW HIRING HALL,7491,LABORER - GROUP IV,2015-10-19,0.0,75293.28,75293.28
13440,57639,Female,Asian,Active,PW FINANCIAL MGMT DIV,7024,CH MANAGEMENT ANALYST,2000-04-24,0.0,161423.28,161423.28
43532,384199,Female,Hispanic,Active,PW FINANCIAL MGMT AS NEEDED DIV,7085,PROJECT ASSISTANT,2017-02-06,0.0,48796.56,48796.56
18208,53834,Female,Asian,Active,PW EXECUTIVE DIVISION,7001,ASST DIR BUR SANITATION,1987-08-30,11029.34,200531.52,211560.86
9901,35597,Female,Caucasian,Active,PW EXECUTIVE,7407,ASST DIR BUR OF ST SVCS,1996-12-23,0.0,175099.68,175099.68
43951,384525,Female,Hispanic,Active,PW ENVIRONMNTL MONITORG AS NEEDED,7065,PROJECT ASSISTANT,2017-02-13,0.0,48796.56,48796.56
7997,24255,Female,Caucasian,Active,PW ENVIRONMENTAL MONITORING DIV,7014,W/WTR TRMT LAB MGR II,1985-05-23,0.0,149271.12,149271.12
