,EMPLOYEE_ID,GENDER,ETHNICITY,JOB_STATUS,DEPARTMENT_TITLE,DEPARTMENT_NBR,JOB_CLASS_TITLE,EMPLOYMENT_DATE,ANNUAL_ADDITIONAL_PAY,ANNUAL_BASE_RATE,ANNUAL_RATE
7230,63868,Female,Unknown,Active,AFFORDABLE HOUSING COMMISSION,3909,MEM AFFORDBL HSG COMMSN,2001-07-01,0.0,104400.0,0.0
10995,40691,Female,Hispanic,Active,AGING,301,EXEC ADMIN ASST III,1977-10-11,0.0,92519.28,92519.28
35460,360713,Female,Black,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2013-11-04,0.0,25056.0,25056.0
32625,337652,Female,Black,Active,AGING AS NEEDED,302,ADMINISTRATIVE CLERK,2011-03-29,0.0,39692.88,39692.88
1986,43281,Female,Caucasian,Active,AIRPORTS,101,AIRPORT INFO SPEC I,1962-04-01,0.0,61491.6,61491.6
18059,49358,Female,Caucasian,Active,ANIMAL SERVICES,201,SR ADMINISTRATIVE CLERK,1970-10-05,0.0,66001.68,66001.68
29241,20909,Female,Black,Active,ANIMAL SERVICES AS NEEDED,202,RELIEF ANIMAL RGLTN WKR,2007-09-10,0.0,40340.16,40340.16
6817,54735,Female,Caucasian,Active,ATTORNEY,1201,PR CLERK CITY ATTY II,1974-08-15,0.0,94482.0,94482.0
6614,55489,Female,Caucasian,Active,ATTORNEY - ATTY,1202,ASST CITY ATTORNEY,1970-03-30,0.0,228260.16,228260.16
5716,49441,Female,Hispanic,Active,ATTORNEY - GRANT REIMB,1204,WITNESS SVC COORD,1979-07-23,1862.24,67713.84,69576.08
8445,18964,Female,Black,Active,ATTORNEY - PROPRIETARY,1203,LEGAL SECRETARY III,1979-01-29,0.0,77903.28,77903.28
35589,361428,Female,Asian,Active,BLDG & SAFETY AS NEEDED,407,STUDENT PROF WORKER,2013-12-16,0.0,37145.52,37145.52
8590,27812,Female,Hispanic,Active,BLDG & SAFETY CD ENFORCE BUR,406,BUILD MECH INSPECTOR,1984-07-16,0.0,89491.68,89491.68
23031,93556,Female,Caucasian,Active,BLDG & SAFETY COMM,409,COMMISSIONER,2004-07-01,0.0,104400.0,104400.0
3334,37495,Female,Caucasian,Active,BLDG & SAFETY ENGINEERING,404,ADMINISTRATIVE CLERK,1980-08-18,0.0,53473.68,53473.68
5545,45925,Female,Hispanic,Active,BLDG & SAFETY INSPECTION BUR.,405,PR CLERK,1985-06-28,0.0,79156.08,79156.08
11110,36897,Female,Hispanic,Active,BLDG & SAFETY MANAGEMENT,401,EXEC ADMIN ASST II,1976-12-06,0.0,86317.92,86317.92
10093,34959,Female,Caucasian,Active,BLDG & SAFETY RSRCE MGMT BUR.,403,ADMINISTRATIVE CLERK,1966-01-10,0.0,53473.68,53473.68
17223,21538,Female,Asian,Active,BLDG & SAFETY TECH SERVS BUR,408,SYSTEMS PROGRAMMER II,1987-01-26,0.0,133924.32,133924.32
47960,390193,Female,Black,Active,CANNABIS REGULATION,501,CH GRANTS ADMINISTRATOR,2017-08-16,0.0,164597.04,164597.04
11741,44328,Female,Caucasian,Active,CAO,801,SR LABOR REL SPEC I,1975-04-23,0.0,152737.2,152737.2
44791,382006,Female,Hispanic,Active,CAO AS NEEDED,802,ADMIN INTERN,2016-10-31,0.0,45518.4,45518.4
16159,60079,Female,Asian,Active,CDD STUDENT WORKERS-AS NEEDED,3456,COMNTY/ADMN SUP WKR III,2000-05-15,0.0,39943.44,39943.44
11386,38340,Female,Hispanic,Active,CITY CLERK,1601,LEGISLATIVE ASST II,1980-06-23,0.0,127994.4,127994.4
7636,20284,Female,Asian,Active,CITY CLERK - GENERAL,1631,STUDENT PROF WORKER,1980-02-11,1108.21,40298.4,41406.61
2591,53570,Female,Black,Active,CITY CLERK ELECTION FULL-TIME,1603,MANAGEMENT ANALYST,1988-10-23,0.0,100307.52,100307.52
43303,380118,Female,Asian,Active,CITY CLK - ELECTION,1651,PR ELECTION CLERK,2016-08-01,0.0,44912.88,44912.88
35461,360550,Female,Caucasian,Active,CITY ETHICS COMM,1709,COMMISSIONER,2013-10-18,0.0,104400.0,104400.0
37213,368745,Female,Caucasian,Active,CITY ETHICS COMM-AS NEEDED,1702,ADMINISTRATIVE CLERK,2014-11-17,0.0,36581.76,36581.76
17811,51350,Female,Hispanic,Active,CITY ETHICS COMM/STAFF,1701,MANAGEMENT ANALYST,2000-03-06,0.0,87570.72,87570.72
235,10391,Female,Caucasian,Active,CLT AFFAIR AS NEEDED,2502,EXHIBIT PREPARATOR,1986-07-21,0.0,47251.44,47251.44
888,26363,Female,Black,Active,CONTROLLER,2601,ADMINISTRATIVE CLERK,1979-08-20,0.0,53473.68,53473.68
44758,29149,Female,Asian,Active,CONTROLLER AS NEEDED,2602,ACCOUNTING CLERK,1975-03-10,0.0,51719.76,51719.76
1315,22740,Female,Asian,Active,COUNCIL,2801,CH LEGISLATIVE ANALYST,1984-02-19,0.0,348549.84,348549.84
15568,17923,Female,Hispanic,Active,COUNCIL AS NEEDED,2802,ADMINISTRATIVE CLERK,1985-03-18,0.0,53473.68,53473.68
12268,54612,Female,Hispanic,Active,CULTURAL AFFAIRS,2501,ADMINISTRATIVE CLERK,1980-12-08,0.0,53473.68,53473.68
9573,31707,Female,Caucasian,Active,DEPT ON DISABILITY,2101,SR PROJECT COORDINATOR,1997-11-17,0.0,111582.72,111582.72
30206,312388,Female,Other,Active,DEPT ON DISABILITY COMM,2109,MEM COMMSN ON DISABILTY,2007-07-01,0.0,104400.0,104400.0
17252,33967,Female,Caucasian,Active,EDD ADMINISTRATIVE SERVICES,1921,MANAGEMENT ANALYST,1997-12-07,0.0,100307.52,100307.52
5249,39110,Female,Black,Active,EDD ECONOMIC DEVELOPMENT DIVISION,1971,ADMINISTRATIVE CLERK,1983-05-31,0.0,53473.68,53473.68
6169,19995,Female,Hispanic,Active,EDD EXECUTIVE MANAGEMENT,1900,SR MGMT ANALYST II,1986-04-21,0.0,146744.64,146744.64
8302,18723,Female,Hispanic,Active,EDD FINANCIAL MANAGEMENT,1910,ADMINISTRATIVE CLERK,1975-01-29,2940.95,53473.68,56414.63
16788,26724,Female,Black,Active,EDD INFORMATION TECHNOLOGY,1961,SR SYSTEMS ANALYST I,1995-05-28,0.0,118661.04,118661.04
1909,41920,Female,Hispanic,Active,EDD WORKFORCE DEVELOPMENT,1935,SR MGMT ANALYST I,1983-02-14,0.0,112209.12,112209.12
5489,40496,Female,Hispanic,Active,EL PBLO LA HIST MNT AUT,4182,MANAGEMENT ASSISTANT,1984-07-16,0.0,71326.08,71326.08
12224,45749,Female,Hispanic,Active,EL PUEBLO AS NEEDED,4183,COMNTY/ADMN SUP WKR III,1985-07-01,1106.64,39943.44,41050.08
39716,374408,Female,Asian,Active,EMERGENCY MANAGEMENT AS NEEDED,1302,ADMIN INTERN,2015-09-21,0.0,41801.76,41801.76
15318,33032,Female,Black,Active,EMERGENCY MANAGEMENT DEPT,1301,EMERGNCY MGT COORD I,1984-05-29,0.0,118347.84,118347.84
5655,44259,Female,Hispanic,Active,EMPLOYEE RELATIONS,2901,COMMISSION EXEC ASST I,1979-10-15,0.0,79156.08,79156.08
35602,175646,Female,Hispanic,Active,EMPLOYEE RELATIONS BD,2909,MEM EMPL RELATIONS BD,2013-11-22,0.0,1879200.0,1879200.0
34421,352161,Female,Hispanic,Active,F P PENSION COMM,5259,COMMISSIONER,2012-12-05,0.0,104400.0,104400.0
11576,49704,Female,Hispanic,Active,FIRE - FIREFIGHTERS,3001,FIRE CAPTAIN I,1984-05-13,10152.9,92886.17,103039.07
2604,52997,Female,Asian,Active,FIRE CIVILIAN,3002,FIRE ADMINISTRATOR,1968-04-26,0.0,200531.52,200531.52
18823,71650,Female,Black,Active,FIRE COMMISSION,3009,COMMISSIONER,2013-09-13,0.0,104400.0,104400.0
903,16571,Female,Black,Active,FIRE POLICE PEN,5251,PAYROLL SUPERVISOR I,1979-07-23,0.0,90911.52,90911.52
172,21549,Female,Asian,Active,GSD ACCOUNTING,3303,DEPT CHIEF ACCT III,1977-01-31,0.0,149521.68,149521.68
3311,50634,Female,Black,Leave,GSD AS NEEDED/MISC,3321,MANAGEMENT ANALYST II,1982-06-14,0.0,0.0,0.0
10288,34664,Female,Caucasian,Active,GSD ASSET MANAGEMENT,3331,CH MANAGEMENT ANALYST,1987-01-05,0.0,175120.56,175120.56
9455,27846,Female,Hispanic,Active,GSD BUILDING MAINTENANCE,3364,SR ADMINISTRATIVE CLERK,1983-08-16,0.0,66001.68,66001.68
17354,56925,Female,Asian,Active,GSD CONSTRUCTION FORCES,3362,MANAGEMENT ANALYST,1986-05-04,0.0,100307.52,100307.52
7436,15481,Female,Black,Active,GSD CUSTODIAL SERVICES,3361,SR CUSTODIAN I,1987-07-26,0.0,48399.84,48399.84
11584,49742,Female,Unknown,Active,GSD EXECUTIVE,3301,ASST GM GEN SVCS DEPT,1985-05-06,0.0,200531.52,200531.52
17791,47711,Female,Filipino,Active,GSD FINANCE/SPEC PROJ,3302,SR MGMT ANALYST I,1988-11-21,0.0,109202.4,109202.4
24388,280956,Female,Black,Active,GSD FLEET REENGINEERING,3332,SR ADMINISTRATIVE CLERK,2006-05-22,0.0,62514.72,62514.72
14331,42220,Female,Hispanic,Active,GSD FLEET SERVICES,3351,SR ADMINISTRATIVE CLERK,1994-01-10,0.0,60844.32,60844.32
17865,70939,Female,Caucasian,Active,GSD HIRING HALL/BLDG MAINT,4491,CARPENTER - HH,2002-11-12,0.0,89220.24,89220.24
42235,380409,Female,Hispanic,Active,GSD HIRING HALL/CONSTRUCTION,3391,CITY CRAFT ASSISTANT-HH,2016-08-08,0.0,51782.4,51782.4
18148,44873,Female,Unknown,Active,GSD MAIL/MESSENGER SERVICES,3366,CH CLERK,1980-03-10,0.0,94482.0,94482.0
5658,44315,Female,Caucasian,Active,GSD MATERIALS MANAGEMENT,3381,SR STOREKEEPER,1987-07-06,0.0,73831.68,73831.68
4490,18707,Female,Black,Active,GSD MIS,3305,SR SYSTEMS ANALYST II,1985-09-09,0.0,146765.52,146765.52
4903,27790,Female,Black,Active,GSD OPERATION SUPPORT,3383,MANAGEMENT ANALYST,1988-04-25,0.0,100307.52,100307.52
