,EMPLOYEE_ID,GENDER,ETHNICITY,JOB_STATUS,DEPARTMENT_TITLE,DEPARTMENT_NBR,JOB_CLASS_TITLE,EMPLOYMENT_DATE,ANNUAL_ADDITIONAL_PAY,ANNUAL_BASE_RATE,ANNUAL_RATE
23750,101385,Female,Caucasian,Active,ZOO AS NEEDED,8702,ZOO VETERINARIAN II,2005-08-08,0.0,108617.76,108617.76
356,18576,Female,Unknown,Active,ZOO AS NEEDED,8702,ANIMAL KEEPER,2000-04-20,1329.8,48358.08,49687.88
21144,81807,Female,Unknown,Active,ZOO AS NEEDED,8702,ASST PARK SVCS ATTND II,2003-06-16,0.0,39943.44,39943.44
25944,281582,Female,Hispanic,Active,ZOO AS NEEDED,8702,RECREATION INSTRUCTOR,2010-06-23,0.0,36748.8,36748.8
31837,325495,Female,Caucasian,Active,ZOO AS NEEDED,8702,RECREATION ASST,2010-06-22,0.0,35141.04,35141.04
793,25014,Female,Caucasian,Active,ZOO AS NEEDED,8702,ASST PARK SVCS ATTND I,2001-03-25,0.0,32071.68,32071.68
29237,302321,Female,Hispanic,Active,ZOO AS NEEDED,8702,SPECIAL PROG ASST II,2007-08-21,0.0,32071.68,32071.68
32462,334722,Female,Hispanic,Active,TRANSPORTATION AS NEEDED,8502,ADMIN HEARING OFCR,2014-07-28,0.0,63015.84,63015.84
8805,32598,Female,Black,Active,TRANSPORTATION AS NEEDED,8502,ADMINISTRATIVE CLERK,1989-01-22,0.0,53473.68,53473.68
37173,368520,Female,Asian,Active,TRANSPORTATION AS NEEDED,8502,PROJECT ASSISTANT,2014-11-10,0.0,48796.56,48796.56
33070,341349,Female,Black,Active,TRANSPORTATION AS NEEDED,8502,TRAF OFFICER I,2011-08-01,0.0,45936.0,45936.0
501,15436,Female,Black,Active,TRANSPORTATION AS NEEDED,8502,CROSSING GUARD,1999-07-23,0.0,41760.0,41760.0
48284,392788,Female,Two or More Races,Active,TRANSPORTATION AS NEEDED,8502,COMNTY/ADMN SUP WKR III,2017-10-30,0.0,39943.44,39943.44
25162,105285,Female,Hispanic,Active,TRANSPORTATION AS NEEDED,8502,STUDENT PROF WORKER,2016-12-12,0.0,34243.2,34243.2
36989,350154,Female,Black,Active,TRANSPORTATION AS NEEDED,8502,COMNTY/ADMN SUP WKR II,2015-09-08,0.0,32071.68,32071.68
36679,367021,Female,Caucasian,Active,TRANSPORTATION,8501,GEN MGR TRANSPORTATION,2014-08-10,0.0,243231.12,243231.12
39008,373112,Female,Caucasian,Active,TRANSPORTATION,8501,ASST GM TRANSPORTATION,2015-07-08,11029.34,200531.52,211560.86
14055,11300,Female,Black,Active,TRANSPORTATION,8501,CH OF TRANSIT PROGRAMS,1990-03-26,0.0,170422.56,170422.56
181,21581,Female,Caucasian,Active,TRANSPORTATION,8501,CH MANAGEMENT ANALYST,2000-05-21,0.0,165870.72,165870.72
