,EMPLOYEE_ID,GENDER,ETHNICITY,JOB_STATUS,DEPARTMENT_TITLE,DEPARTMENT_NBR,JOB_CLASS_TITLE,EMPLOYMENT_DATE,ANNUAL_ADDITIONAL_PAY,ANNUAL_BASE_RATE,ANNUAL_RATE
7230,63868,Female,Unknown,Active,AFFORDABLE HOUSING COMMISSION,3909,MEM AFFORDBL HSG COMMSN,2001-07-01,0.0,104400.0,0.0
10995,40691,Female,Hispanic,Active,AGING,301,EXEC ADMIN ASST III,1977-10-11,0.0,92519.28,92519.28
4735,27358,Female,Black,Active,AGING,301,NUTRITIONIST,1987-05-11,0.0,88405.92,88405.92
372,10956,Female,Hispanic,Active,AGING,301,SR MGMT ANALYST I,1996-11-04,0.0,112209.12,112209.12
7052,11999,Female,Caucasian,Transferring Out,AGING,301,MANAGEMENT ANALYST,1999-04-19,0.0,100307.52,100307.52
18197,71396,Female,Asian,Active,AGING,301,COMNTY PROGRM ASST III,2002-02-21,0.0,88948.8,88948.8
19974,74212,Female,Black,Active,AGING,301,SR ADMINISTRATIVE CLERK,2002-08-04,0.0,57628.8,57628.8
20515,77109,Female,Hispanic,Active,AGING,301,GEN MGR DEPT OF AGING,2002-12-23,0.0,199174.32,199174.32
23131,94255,Female,Asian,Active,AGING,301,PR ACCOUNTANT II,2005-01-03,0.0,107678.16,107678.16
26515,281848,Female,Caucasian,Active,AGING,301,MANAGEMENT ASSISTANT,2006-06-09,0.0,48796.56,48796.56
30293,306677,Female,Asian,Active,AGING,301,SR ACCOUNTANT II,2007-12-17,0.0,96298.56,96298.56
30859,322704,Female,Caucasian,Active,AGING,301,SOCIAL WORKER III,2009-02-25,0.0,118473.12,118473.12
36941,367291,Female,Asian,Active,AGING,301,ACCOUNTANT,2014-08-25,0.0,59988.24,59988.24
40350,375634,Female,Black,Active,AGING,301,SOCIAL WORKER II,2015-12-28,0.0,70490.88,70490.88
45888,387401,Female,Caucasian,Active,AGING,301,ACCOUNTING CLERK,2017-05-30,0.0,47689.92,47689.92
35460,360713,Female,Black,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2013-11-04,0.0,25056.0,25056.0
32625,337652,Female,Black,Active,AGING AS NEEDED,302,ADMINISTRATIVE CLERK,2011-03-29,0.0,39692.88,39692.88
32720,339232,Female,Hispanic,Active,AGING AS NEEDED,302,PROGRAM AIDE AGING,2011-06-10,0.0,37229.04,37229.04
1986,43281,Female,Caucasian,Active,AIRPORTS,101,AIRPORT INFO SPEC I,1962-04-01,0.0,61491.6,61491.6
11479,46692,Female,Black,Active,AIRPORTS,101,AIRPORT POLICE OFCR II,1975-03-05,10607.04,92895.12,103502.16
16588,38175,Female,Caucasian,Active,AIRPORTS,101,COMMISSION EXEC ASST II,1978-05-10,0.0,100307.52,100307.52
9377,28951,Female,Black,Active,AIRPORTS,101,AIRPORT POLICE OFCR III,1979-08-13,16182.0,98177.76,114359.76
15710,21736,Female,Black,Active,AIRPORTS,101,ACCOUNTING CLERK,1979-08-28,0.0,69697.44,69697.44
18365,41039,Female,Black,Active,AIRPORTS,101,SR ADMINISTRATIVE CLERK,1979-12-06,0.0,66001.68,66001.68
16382,39331,Female,Caucasian,Active,AIRPORTS,101,AIRPORT POLICE LT,1980-05-18,7852.45,136722.24,144574.69
11614,47560,Female,Caucasian,Active,AIRPORTS,101,SR MGMT ANALYST II,1980-06-30,0.0,146744.64,146744.64
9945,35662,Female,Black,Active,AIRPORTS,101,WORKERS COMP ANALYST,1981-02-08,0.0,98073.36,98073.36
11651,54606,Female,Black,Active,AIRPORTS,101,MANAGEMENT ANALYST,1981-03-23,0.0,100307.52,100307.52
9696,35744,Female,Hispanic,Active,AIRPORTS,101,AIRPORT POLICE SGT I,1981-03-25,9878.85,116218.08,126096.93
8172,22474,Female,Black,Active,AIRPORTS,101,CUSTODIAN - AIRPORT,1981-08-23,0.0,47669.04,47669.04
11216,37162,Female,Black,Active,AIRPORTS,101,RISK MANAGER I,1981-11-16,0.0,117804.96,117804.96
14483,33269,Female,Hispanic,Active,AIRPORTS,101,EXEC ADMIN ASST II,1982-01-25,0.0,86317.92,86317.92
12658,55686,Female,Black,Active,AIRPORTS,101,PERSONNEL ANALYST,1982-09-08,0.0,95004.0,95004.0
8210,18892,Female,Black,Active,AIRPORTS,101,AIRPORT POLICE CAPTAIN,1982-09-12,0.0,173638.08,173638.08
2997,49554,Female,Black,Active,AIRPORTS,101,EXEC ADMIN ASST III,1983-04-10,0.0,92519.28,92519.28
1798,38799,Female,Black,Active,AIRPORTS,101,SECURITY OFFICER,1983-10-03,11318.53,58798.08,70116.61
7324,10676,Female,Black,Active,AIRPORTS,101,SR PERSONNEL ANALYST II,1984-02-27,0.0,137035.44,137035.44
16587,38163,Female,Caucasian,Active,AIRPORTS,101,SECRETARY,1984-06-11,0.0,71722.8,71722.8
1287,15846,Female,Black,Leave,AIRPORTS,101,ADMINISTRATIVE CLERK,1984-08-23,0.0,0.0,0.0
5504,42113,Female,Caucasian,Active,AIRPORTS,101,PROPERTY MANAGER III,1984-12-10,0.0,166121.28,166121.28
6820,54757,Female,Caucasian,Active,AIRPORTS,101,EXEC ASST AIRPORTS,1985-02-04,0.0,188483.76,188483.76
6073,51030,Female,Black,Active,AIRPORTS,101,SR MGMT ANALYST I,1985-04-14,0.0,118473.12,118473.12
4879,25867,Female,Filipino,Active,AIRPORTS,101,SR SYSTEMS ANALYST II,1985-06-03,0.0,146765.52,146765.52
9473,31384,Female,Black,Active,AIRPORTS,101,CH MANAGEMENT ANALYST,1985-09-03,0.0,175120.56,175120.56
17111,15901,Female,Black,Active,AIRPORTS,101,CUSTODIAN SUPERVISOR,1986-01-26,0.0,58923.36,58923.36
10473,37065,Female,Black,Active,AIRPORTS,101,OFFICE SVCS ASSISTANT,1986-02-10,0.0,53473.68,53473.68
8328,18519,Female,Hispanic,Active,AIRPORTS,101,TRANSITIONAL WORKER,1986-03-21,0.0,0.0,0.0
2964,49931,Female,Black,Active,AIRPORTS,101,PR CLERK,1986-08-17,0.0,79156.08,79156.08
14554,43492,Female,Hispanic,Active,AIRPORTS,101,COMMUN INFO REP III,1986-09-07,3906.91,71033.76,74940.67
13321,56837,Female,Asian,Active,AIRPORTS,101,SYSTEMS ANALYST,1986-10-20,0.0,76462.56,76462.56
8208,18889,Female,Hispanic,Active,AIRPORTS,101,PERSONNEL DIR II,1986-11-10,4550.01,165453.12,170003.13
10738,40157,Female,Asian,Active,AIRPORTS,101,CIVIL ENGRG ASSOC IV,1987-03-23,0.0,127555.92,127555.92
17746,45740,Female,Black,Active,AIRPORTS,101,PR COMMUNICATIONS OPER,1988-05-09,0.0,83895.84,83895.84
14408,43251,Female,Black,Active,AIRPORTS,101,PROCUREMENT ANALYST II,1988-05-16,0.0,92477.52,92477.52
8927,24669,Female,Caucasian,Active,AIRPORTS,101,INFO SYSTEM MGR I,1988-06-06,0.0,158500.08,158500.08
16366,37834,Female,Black,Active,AIRPORTS,101,WORKERS COMP CLAIMS AST,1988-06-14,0.0,70657.92,70657.92
11933,43712,Female,Caucasian,Active,AIRPORTS,101,AIRPORT ENGINEER I,1988-07-11,0.0,131063.76,131063.76
1387,11960,Female,Asian,Active,AIRPORTS,101,AUDITOR II,1988-08-01,0.0,94586.4,94586.4
6571,55569,Female,Black,Active,AIRPORTS,101,SR COMMUN OPERATOR II,1988-08-29,4380.1,79636.32,84016.42
17103,15407,Female,Black,Active,AIRPORTS,101,AIRPORT POLICE SGT II,1988-12-12,7069.71,122690.88,129760.59
10880,41362,Female,Asian,Active,AIRPORTS,101,ENVIRONMENTAL SPEC II,1989-01-01,0.0,105444.0,105444.0
15640,54626,Female,Hispanic,Active,AIRPORTS,101,SR CUSTODIAN I - AIRPORT,1989-02-05,2887.18,52492.32,55379.5
44527,52759,Female,Asian,Active,AIRPORTS,101,TELECOM PLN & UTIL OFCR,1989-02-13,0.0,134279.28,134279.28
12512,57697,Female,Hispanic,Active,AIRPORTS,101,GARDENER CARETAKER,1989-06-26,0.0,56438.64,56438.64
1343,22425,Female,Filipino,Active,AIRPORTS,101,DEPT CHIEF ACCT IV,1989-07-17,0.0,170422.56,170422.56
15906,58659,Female,Asian,Active,AIRPORTS,101,PR ACCOUNTANT II,1989-12-18,0.0,120039.12,120039.12
2823,55612,Female,Asian,Active,AIRPORTS,101,ENVIRN AFFRS OFC,1990-03-12,0.0,144677.52,144677.52
9110,32377,Female,Black,Active,AIRPORTS,101,AIRP MANAGER II,1990-04-16,0.0,163511.28,163511.28
14898,25669,Female,Black,Active,AIRPORTS,101,CH COMMUNICATIONS OPER,1990-09-24,0.0,88468.56,88468.56
10250,34774,Female,Black,Active,AIRPORTS,101,AIRPORT INFO SPEC II,1990-10-22,0.0,83332.08,83332.08
6704,58347,Female,Filipino,Active,AIRPORTS,101,PR ACCOUNTANT I,1990-11-26,0.0,104901.12,104901.12
9778,31910,Female,Black,Active,AIRPORTS,101,PROGRAMMER/ANALYST IV,1990-12-10,0.0,116698.32,116698.32
13500,16334,Female,Black,Active,AIRPORTS,101,SR.AIRPORT ENGINEER I,1991-03-04,0.0,149542.56,149542.56
15671,54768,Female,Black,Active,AIRPORTS,101,RISK & INSURANCE ASST,1991-03-18,0.0,78237.36,78237.36
14086,52192,Female,Black,Active,AIRPORTS,101,INFO SYSTEM MGR II,1991-04-15,0.0,165870.72,165870.72
11323,42781,Female,Hispanic,Active,AIRPORTS,101,AIRPORT GUIDE II,1991-05-15,4605.08,41864.4,46469.48
17167,12543,Female,Caucasian,Active,AIRPORTS,101,CH AIRPORT PLAN I,1991-06-03,0.0,153426.24,153426.24
9721,31877,Female,Black,Active,AIRPORTS,101,PR SECURITY OFFICER,1991-06-16,0.0,71722.8,71722.8
10447,54339,Female,Caucasian,Active,AIRPORTS,101,SR CIVIL ENGINEER,1991-06-24,0.0,149981.04,149981.04
12614,55123,Female,Black,Active,AIRPORTS,101,SR PERSONNEL ANALYST I,1991-08-19,0.0,123400.8,123400.8
5169,31276,Female,Black,Active,AIRPORTS,101,SR SECURITY OFFICER,1991-09-23,12387.84,64352.16,76740.0
8316,18070,Female,Asian,Active,AIRPORTS,101,DIR OF AIRPRTS OPERATNS,1992-01-12,0.0,205897.68,205897.68
