,EMPLOYEE_ID,GENDER,ETHNICITY,JOB_STATUS,DEPARTMENT_TITLE,DEPARTMENT_NBR,JOB_CLASS_TITLE,EMPLOYMENT_DATE,ANNUAL_ADDITIONAL_PAY,ANNUAL_BASE_RATE,ANNUAL_RATE
7056,12724,Male,Unknown,Active,ZOO AS NEEDED,8702,ZOO VETERINARIAN II,2000-12-23,2986.88,108617.76,111604.64
28462,300456,Male,Caucasian,Active,ZOO AS NEEDED,8702,VETERINARY TECHNICIAN,2007-07-08,0.0,50425.2,50425.2
356,18576,Female,Unknown,Active,ZOO AS NEEDED,8702,ANIMAL KEEPER,2000-04-20,1329.8,48358.08,49687.88
37120,368241,Male,Hispanic,Active,ZOO AS NEEDED,8702,MAINT & CONSTR HELPER,2014-10-22,0.0,41885.28,41885.28
21144,81807,Female,Unknown,Active,ZOO AS NEEDED,8702,ASST PARK SVCS ATTND II,2003-06-16,0.0,39943.44,39943.44
25944,281582,Female,Hispanic,Active,ZOO AS NEEDED,8702,RECREATION INSTRUCTOR,2010-06-23,0.0,36748.8,36748.8
31837,325495,Female,Caucasian,Active,ZOO AS NEEDED,8702,RECREATION ASST,2010-06-22,0.0,35141.04,35141.04
793,25014,Female,Caucasian,Active,ZOO AS NEEDED,8702,ASST PARK SVCS ATTND I,2001-03-25,0.0,32071.68,32071.68
6814,68461,Male,Hispanic,Active,ZOO AS NEEDED,8702,SPECIAL PROG ASST II,2011-08-28,0.0,32071.68,32071.68
41813,377373,Male,Asian,Active,ZOO AS NEEDED,8702,COMNTY/ADMN SUP WKR II,2016-04-18,0.0,32071.68,32071.68
8639,61802,Male,Caucasian,Active,ZOO - HIRING HALL,8791,PLUMBER II - HH,2001-05-29,0.0,93291.84,93291.84
42918,380789,Male,Hispanic,Active,ZOO - HIRING HALL,8791,ELECTRICIAN - HH,2016-08-30,0.0,83206.8,83206.8
29573,322036,Male,Filipino,Active,TRANSPORTATION AS NEEDED,8502,ADMIN HEARING OFCR,2014-07-28,0.0,63015.84,63015.84
8805,32598,Female,Black,Active,TRANSPORTATION AS NEEDED,8502,ADMINISTRATIVE CLERK,1989-01-22,0.0,53473.68,53473.68
37173,368520,Female,Asian,Active,TRANSPORTATION AS NEEDED,8502,PROJECT ASSISTANT,2014-11-10,0.0,48796.56,48796.56
23209,95644,Male,Black,Active,TRANSPORTATION AS NEEDED,8502,TRAF OFFICER I,2016-07-11,0.0,45936.0,45936.0
370,18779,Male,Black,Active,TRANSPORTATION AS NEEDED,8502,CROSSING GUARD,1988-09-01,0.0,42386.4,42386.4
43516,383110,Male,Other,Active,TRANSPORTATION AS NEEDED,8502,COMNTY/ADMN SUP WKR III,2016-12-12,0.0,39943.44,39943.44
34578,354023,Male,Other,Active,TRANSPORTATION AS NEEDED,8502,STUDENT PROF WORKER,2013-03-05,0.0,38168.64,38168.64
36899,367380,Male,Hispanic,Active,TRANSPORTATION AS NEEDED,8502,COMNTY/ADMN SUP WKR II,2016-08-22,0.0,32071.68,32071.68
36679,367021,Female,Caucasian,Active,TRANSPORTATION,8501,GEN MGR TRANSPORTATION,2014-08-10,0.0,243231.12,243231.12
39008,373112,Female,Caucasian,Active,TRANSPORTATION,8501,ASST GM TRANSPORTATION,2015-07-08,11029.34,200531.52,211560.86
16104,24455,Male,Caucasian,Active,TRANSPORTATION,8501,PR TRANSP ENGINEER,1986-10-12,0.0,175120.56,175120.56
18041,41393,Male,Asian,Active,TRANSPORTATION,8501,INFO SYSTEM MGR II,1986-08-04,0.0,175120.56,175120.56
33347,344221,Male,Caucasian,Active,TRANSPORTATION,8501,CH PRKG ENFORCE OPERTNS,2012-01-15,0.0,175120.56,175120.56
14055,11300,Female,Black,Active,TRANSPORTATION,8501,CH OF TRANSIT PROGRAMS,1990-03-26,0.0,170422.56,170422.56
181,21581,Female,Caucasian,Active,TRANSPORTATION,8501,CH MANAGEMENT ANALYST,2000-05-21,0.0,165870.72,165870.72
3147,29384,Male,Caucasian,Active,TRANSPORTATION,8501,SUPVSG TRANS PLANNR II,1992-11-30,0.0,154595.52,154595.52
13613,58261,Female,Asian,Active,TRANSPORTATION,8501,DEPT CHIEF ACCT IV,2001-01-16,0.0,152904.24,152904.24
